area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,CT,income,education,densitygroup,incomegroup,msdgroup,edugroup
1,1998,0.000448202,2169.689965,1.02,1.02,Vancouver,0.016121567,84.31573645,84.32658138,0.008720893,1.02,58118,0.236285624,2,3,4,1
1,1995,0.000463618,2135.529412,1.02,1.02,Vancouver,0.015608741,144.8639599,144.8902732,0.01505515,1.02,53499,0.251048231,2,2,4,1
1,2010,0.000266812,2563.676181,1.02,1.02,Vancouver,0.025660274,1.001546378,0.982503342,4.52E-06,1.02,62774,0.395370673,2,3,1,4
1,1992,0.000519967,1758.588235,1.02,1.02,Vancouver,0.003902185,159.8825064,159.9260929,0.01662702,1.02,45745,0.265810838,2,2,4,1
1,1994,0.000492528,2009.882353,1.02,1.02,Vancouver,0.011706556,149.8701421,149.9022131,0.015579107,1.02,50914,0.2559691,2,2,4,1
1,2000,0.000335827,2078.20346,1.02,1.02,Vancouver,0.012732207,28.7736951,28.77482945,0.002910591,1.02,60152,0.226443885,2,3,4,1
1,2008,0.000240573,2489.953274,1.02,1.02,Vancouver,0.018348901,1.002110399,0.990728415,4.98E-06,1.02,68645,0.365666409,2,3,1,3
1,2004,0.000322664,2262.722303,1.02,1.02,Vancouver,0.008813996,1440.858938,1440.854892,0.150616875,1.02,69178,0.290186494,2,3,5,2
1,1997,0.00047644,2215.433218,1.02,1.02,Vancouver,0.017816246,112.0867571,112.1024573,0.011626043,1.02,57101,0.241206493,2,3,4,1
1,2001,0.000401887,2032.460208,1.02,1.02,Vancouver,0.0054787,3600.643333,3600.6388,0.376534027,1.02,61169,0.221523016,2,3,5,1
1,2005,0.000307724,2339.476335,1.02,1.02,Vancouver,0.009925762,720.9308061,720.9269228,0.075311158,1.02,71847,0.313074319,2,3,5,2
1,2016,0.000203152,2935.483871,1.02,1.02,Vancouver,0.013071895,107.3732979,107.3711702,0.011132075,1.02,76826,0.383500557,3,4,4,4
1,2002,0.000376564,2109.21424,1.02,1.02,Vancouver,0.006590465,2880.715201,2880.710831,0.30122831,1.02,63839,0.244410842,2,3,5,1
1,2013,0.000212646,2734.516129,1.02,1.02,Vancouver,0.022818335,43.55007778,43.53550256,0.004455405,1.02,66633,0.399533906,2,3,4,4
1,1999,0.000395582,2123.946713,1.02,1.02,Vancouver,0.014426887,56.54471577,56.55070541,0.005815742,1.02,59135,0.231364755,2,3,4,1
1,2006,0.000276319,2416.230366,1.02,1.02,Vancouver,0.011037528,1.002674419,0.998953488,5.44E-06,1.02,74517,0.335962145,2,4,2,3
1,2003,0.000330009,2185.968271,1.02,1.02,Vancouver,0.007702231,2160.78707,2160.782861,0.225922593,1.02,66508,0.267298668,2,3,5,1
1,1996,0.000492817,2261.176471,1.02,1.02,Vancouver,0.019510926,139.8577778,139.8783333,0.014531194,1.02,56084,0.246127362,2,2,4,1
1,2007,0.000247925,2453.09182,1.02,1.02,Vancouver,0.014693214,1.002392409,0.994840951,5.21E-06,1.02,71581,0.350814277,2,3,1,3
1,2011,0.000301613,2600.537634,1.02,1.02,Vancouver,0.029315961,1.001264368,0.978390805,4.29E-06,1.02,59838,0.410222805,2,3,1,4
1,2015,0.000219652,2868.494624,1.02,1.02,Vancouver,0.016320709,86.09889119,86.09261432,0.008906518,1.02,73428,0.388845007,2,4,4,4
1,2012,0.000255725,2667.526882,1.02,1.02,Vancouver,0.026067148,22.27567107,22.25694668,0.002229848,1.02,63236,0.404878355,2,3,4,4
2,2004,0.000272323,2893.673469,2.01,2.01,Vancouver,0.012868098,1.028875913,1.005970803,7.18E-06,2.01,65304,0.310953851,2,3,3,2
2,1995,0.000365448,2276.4,2.01,2.01,Vancouver,0.002462043,122.2237757,122.198957,0.012684274,2.01,55436,0.274712664,2,2,4,2
2,1994,0.000389761,2115.8,2.01,2.01,Vancouver,0.001846533,91.92164223,91.89958063,0.009514763,2.01,53373,0.281977894,2,2,4,2
2,2009,0.000209232,3012.934988,2.01,2.01,Vancouver,0.011989835,1.026017138,1.001801016,6.81E-06,2.01,64475,0.388135979,3,3,2,4
2,2002,0.00029614,2874.081633,2.01,2.01,Vancouver,0.010836985,1.021839416,1.005591241,6.79E-06,2.01,59798,0.257732138,2,3,2,1
2,2000,0.000300325,2778.828571,2.01,2.01,Vancouver,0.01253488,31.33391175,31.30474695,0.00317681,2.01,57136,0.238386512,2,3,4,1
2,1999,0.000342907,2693.371429,2.01,2.01,Vancouver,0.010170548,61.63191109,61.60314354,0.006346054,2.01,57227,0.245651742,2,3,4,1
2,2010,0.000221253,3046.158216,2.01,2.01,Vancouver,0.011020043,1.022718714,1.000284566,6.56E-06,2.01,62364,0.396122784,3,3,2,4
