area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,education,msdgroup,matgroup,socgroup,edugroup,densitygroup
2,1995,2.61E-05,2276.4,2.01,2.01,Vancouver,0.002462043,-121.2237757,-121.198957,0.987315726,0.274712664,1,1,1,2,3
2,1994,2.81E-05,2115.8,2.01,2.01,Vancouver,0.001846533,-90.92164223,-90.89958063,0.990485237,0.281977894,2,2,2,2,3
2,2009,2.81E-05,3012.934988,2.01,2.01,Vancouver,0.011989835,-0.026017138,-0.001801016,0.999993189,0.388135979,4,4,4,2,3
2,2002,2.91E-05,2874.081633,2.01,2.01,Vancouver,0.010836985,-0.021839416,-0.005591241,0.99999321,0.257732138,4,4,4,2,3
2,2000,3.05E-05,2778.828571,2.01,2.01,Vancouver,0.01253488,-30.33391175,-30.30474695,0.99682319,0.238386512,3,3,3,2,3
2,1999,2.68E-05,2693.371429,2.01,2.01,Vancouver,0.010170548,-60.63191109,-60.60314354,0.993653946,0.245651742,2,2,2,2,3
2,2010,3.03E-05,3046.158216,2.01,2.01,Vancouver,0.011020043,-0.022718714,-0.000284566,0.999993441,0.396122784,4,4,4,3,3
2,2003,2.85E-05,2883.877551,2.01,2.01,Vancouver,0.011852542,-0.025357664,-0.005781022,0.999993016,0.284342994,4,4,4,2,3
2,2001,2.93E-05,2864.285714,2.01,2.01,Vancouver,0.009821429,-0.018321168,-0.00540146,0.999993404,0.231121281,4,4,4,2,3
2,1996,2.45E-05,2437,2.01,2.01,Vancouver,0.003077554,-151.5259091,-151.4983333,0.984146215,0.267447433,1,1,1,2,3
2,1993,2.90E-05,1955.2,2.01,2.01,Vancouver,0.001231022,-60.6195088,-60.60020429,0.993654749,0.289243124,2,2,2,3,2
2,2008,4.45E-05,2979.711761,2.01,2.01,Vancouver,0.012959627,-0.029315561,-0.003317465,0.999992938,0.380149174,4,4,3,2,3
2,1990,6.13E-05,1634,2.01,2.01,Vancouver,0,-0.015241935,-0.001451613,0.999993771,0.303773585,4,4,3,3,2
2,1997,2.55E-05,2522.457143,2.01,2.01,Vancouver,0.005441886,-121.2279098,-121.1999367,0.987315459,0.260182203,2,2,2,2,3
2,2005,2.88E-05,2903.469388,2.01,2.01,Vancouver,0.013883655,-0.032394161,-0.006160584,0.999992628,0.337564707,4,4,3,2,3
2,2016,2.42E-05,3170.103093,2.01,2.01,Vancouver,0.016570008,-0.023478261,0.00673913,0.999993769,0.414913958,4,4,4,3,3
2,2014,2.58E-05,3133.814433,2.01,2.01,Vancouver,0.013962105,-0.021855073,0.004536232,0.999993739,0.41059221,4,4,4,3,3
2,1991,3.46E-05,1634,2.01,2.01,Vancouver,0,-0.015241935,-0.001451613,0.999993771,0.303773585,4,4,3,3,2
2,2006,2.86E-05,2913.265306,2.01,2.01,Vancouver,0.014899211,-0.035912409,-0.006350365,0.999992434,0.364175563,3,4,3,2,3
2,2015,2.47E-05,3151.958763,2.01,2.01,Vancouver,0.015266057,-0.022666667,0.005637681,0.999993754,0.412753084,4,4,4,3,3
2,1992,2.99E-05,1794.6,2.01,2.01,Vancouver,0.000615511,-30.31737537,-30.30082795,0.99682426,0.296508355,2,2,2,3,2
2,2011,2.92E-05,3079.381443,2.01,2.01,Vancouver,0.010050251,-0.01942029,0.001231884,0.999993693,0.404109589,3,4,3,3,3
2,2007,2.90E-05,2946.488534,2.01,2.01,Vancouver,0.013929419,-0.032613985,-0.004833915,0.999992686,0.372162369,4,4,3,2,3
2,2012,5.13E-05,3097.525773,2.01,2.01,Vancouver,0.011354203,-0.020231884,0.002333333,0.999993708,0.406270463,4,4,4,3,3
2,1998,2.76E-05,2607.914286,2.01,2.01,Vancouver,0.007806217,-90.92991042,-90.90154013,0.990484703,0.252916972,2,2,2,2,3
2,2013,2.60E-05,3115.670103,2.01,2.01,Vancouver,0.012658154,-0.021043478,0.003434782,0.999993723,0.408431337,4,4,4,3,3
3,2006,3.76E-05,5095.69378,2.04,2.04,Vancouver,0.00431241,-286.7367323,-286.6859724,0.970004142,0.475398936,2,2,2,4,4
3,1996,2.15E-05,4782.850624,2.04,2.04,Vancouver,0.016738234,-253.6177362,-253.571984,0.973468184,0.325375269,1,1,1,4,5
3,1994,2.55E-05,4664.224248,2.04,2.04,Vancouver,0.01451355,-195.645286,-195.6128224,0.979531507,0.34107071,1,1,1,5,5
3,1997,2.10E-05,4829.140507,2.04,2.04,Vancouver,0.014253069,-260.2415354,-260.1947817,0.972775376,0.317527549,1,1,1,4,5
3,2005,2.60E-05,5079.415032,2.04,2.04,Vancouver,0.004609263,-287.9978096,-287.945374,0.969872319,0.437546482,2,2,2,4,4
